#파일	묶음	번호	KO
advice0	0	39	금액 입력 후, 차입은 "차입" 아이콘을,\n상환은 "차입금 상환" 아이콘을\n터치하세요.
advice0	0	40	차입금을 상환하려면\n이 버튼을 터치하세요.
advice0	0	41	차입하려면\n이 버튼을 터치하세요.
advice0	0	42	<1>은행에서 %s 빌렸습니다!
advice0	0	43	<1>은행에 %s 상환했습니다!
advice0	0	44	이 화면에서는 새 설비 개발,\n기존 설비 개량,\n직원 연수를 합니다.<P>선택하려면 터치펜으로\n아이콘을 터치하세요.
advice0	0	45	새 어트랙션을 개발합니다.\n손님이 질리지 않게 하기 위해서라도\n적극적으로 투자합시다.
advice0	0	46	어트랙션을 개량합니다.\n최대 정원 증가와\n설비 비용 절감 효과를 기대할 수 있습니다.
advice0	0	47	새 상점을 개발합니다.\n새 상점의 상품은\n테마파크 수익에 공헌할 것입니다.
advice0	0	48	직원 연수를 합니다.\n고도의 교육을 받은 직원은\n더 좋은 서비스를 제공할 것입니다.
advice0	0	49	새 시설을 개발합니다.\n시설이 충실하면 테마파크의 경관과\n위생 면에 큰 영향을 줍니다.
advice0	0	50	시설을 개수합니다. 구체적으로는\n창고 확장과 셔틀버스 대형화를 합니다.
advice0	0	51	새 개발 비용을 입력합니다.\n금액을 입력한 뒤\nOK 아이콘을 터치하세요.
advice0	0	52	<1>새 비용은 %s입니다!\n설정한 금액은 매월 인출됩니다.\n주의해 주십시오.
advice0	0	53	금액 입력 후, 주식 구입은 "구입" 아이콘을,\n매각은 "매각" 아이콘을 터치하세요.
advice0	0	54	<1>%s 주식을\n%d주 구입했습니다!
advice0	0	55	<1>%s 주식을\n%d주 매각했습니다!
advice0	0	56	새 입장료를 입력합니다.\n금액을 입력한 뒤\nOK 아이콘을 터치하세요.
advice0	0	57	<1>새 입장료는 %s입니다!
advice0	0	58	이 화면에서는 각종 시스템 설정을 합니다.<P>선택하려면 터치펜으로\n아이콘을 터치하세요.
advice0	0	59	게임 전체의 진행 속도를 바꿉니다.
advice0	0	60	전체 지도를 표시합니다.\n터치펜으로 원하는 장소로\n바로 이동할 수 있습니다.
advice0	0	61	게임 중에 흐르는 음악을 바꿉니다.
advice0	0	62	진행 상황을 세이브합니다.
advice0	0	63	세이브 데이터를 로드합니다.
advice0	0	64	이 나라의 테마파크 경영에서 손을 뗍니다.
advice0	0	65	게임 진행 속도를 바꿀 수 있습니다.\n화면 가운데의 속도 게이지를\n터치하세요.
advice0	0	66	게임 중 음악을 바꿉니다.\n아이콘을 터치하면 미리 듣기.\n체크하면 결정됩니다.
advice0	0	67	진행 상황을 세이브합니다.\n괜찮으면 OK 아이콘을\n터치하세요.
advice0	0	68	<1>지금 세이브 중입니다.\n세이브가 끝날 때까지\n전원을 끄지 마세요.
advice0	0	69	<2>세이브가 완료되었습니다!
advice0	0	70	세이브 데이터를 로드합니다.\n괜찮으면 OK 아이콘을\n터치하세요.
advice0	0	71	<1>지금 로드 중입니다.\n잠시 기다려 주십시오.
advice0	0	72	<2>로드가 완료되었습니다!\n중단한 데이터에서 게임을 재개합니다.
advice0	0	73	<1>포기합니다.\n세이브하지 않았다면 현재 플레이 데이터는\n사라집니다. 괜찮으시겠습니까?
advice0	0	74	여러 아이콘을 터치해 보세요.\n어트랙션마다\n여러 가지를 조정할 수 있습니다.
advice0	0	75	어트랙션의 1회당\n정원을 바꿉니다. 커서를 터치해서\n수치를 조정하세요.
advice0	0	76	어트랙션의 내구도를 나타냅니다.\n게이지를 터치하면\n정비공이 수리합니다.
advice0	0	77	어트랙션의 운전 속도를 바꿉니다.\n게이지를 터치하면\n운전 속도가 바뀝니다.
advice0	0	78	어트랙션의 1회당\n운전 시간을 바꿉니다. 게이지를 터치해서\n시간을 바꾸세요.
advice0	0	79	이 상점의 현재 상태입니다.\n판매 가격, 양념 양을 바꿀 수 있습니다.
advice0	0	80	이 사이드 게임의 현재 상태입니다.\n승률, 경품 가격, 게임 요금을 바꿀 수 있습니다.
advice0	0	81	이 경비원의 현재 상태입니다.\n급여 변경, 배치 위치 이동이 가능합니다.
advice0	0	82	<1>%s의 배치 위치를 바꿉니다.\n%s의 배치 위치를 정한 뒤\nOK 아이콘을 터치해 주십시오.
advice0	0	83	이 엔터테이너의 현재 상태입니다.\n급여 변경, 배치 위치 이동이 가능합니다.
advice0	0	84	<1>엔터테이너의 배치 위치를 바꿉니다.\n배치 위치를 정한 뒤\nOK 아이콘을 터치해 주십시오.
advice0	0	85	이 청소부의 현재 상태입니다.\n급여 변경, 배치 위치 이동,\n청소 범위 지정이 가능합니다.
advice0	0	86	<1>청소부의 배치 위치를 바꿉니다.\n배치 위치를 정한 뒤\nOK 아이콘을 터치해 주십시오.
advice0	0	87	<1>이 청소부의 청소 경로를 지정합니다.\n청소 범위의 기점을\n터치펜으로 지정해 주십시오.<P>청소 범위 기점은 여러 개 지정할 수 있습니다.\n범위가 정해지면\nOK 아이콘을 터치해 주십시오.
advice0	0	88	이 정비공의 현재 상태입니다.\n급여 변경, 배치 위치 이동, 수리할\n어트랙션 지정이 가능합니다.
advice0	0	89	<1>정비공의 배치 위치를 바꿉니다.\n배치 위치를 정한 뒤\nOK 아이콘을 터치해 주십시오.
advice0	0	90	<1>이 정비공을 수리하러 보냅니다.\n수리할 어트랙션을\n터치해 주십시오.
advice0	0	91	<1>지우개 아이콘이 ON 상태입니다.\n터치펜으로 여러 시설을 철거할 수 있습니다.
advice0	0	92	재고 관리는 "뭐든지 할 수 있다" 모드에서\n하세요.
advice0	0	93	"만드는 게 즐겁다" 모드에서는\n연구를 할 수 없습니다.
advice0	0	94	이 게임 모드에서는\n주식 거래를 할 수 없습니다.
advice0	0	95	<1>매각을 취소했습니다.\n계속해서 이 나라를 플레이합니다.<P>클리어한 기록은 저장되지 않았습니다.\n게임을 중단할 때는 잊지 말고 세이브합시다.
advice0	0	96	<1>새 나라를 플레이하려면 세이브한 뒤\n지금 나라를 매각해야 합니다.<P>한번 매각하면\n이 나라는 당신의 것이 아니게 됩니다.\n그래도 괜찮으시겠습니까?<P>다음 나라를 플레이하고 싶다면\n게임 아이콘 "시스템"에서\n"다음 나라로"를 선택해 주십시오.
advice0	0	97	다음 요소가 추가되었습니다.
advice0	0	98	<2>축하합니다!\n클리어 목표를 달성했습니다!\n자, 새 나라로 떠납시다!
advice0	0	99	<1>이 나라를 매각합니다. 매각 절차를 위해\n세이브합니다. 잠시 기다려 주십시오.
advice0	0	100	<2>로드가 완료되었습니다!
advice0	0	101	<1>워터슬라이더는\n고리 모양으로 이어진 전용 코스에\n붙여서 설치해 주십시오.
advice0	0	102	<1>고카트는\n고리 모양으로 이어진 전용 코스에\n붙여서 설치해 주십시오.
advice0	0	103	<4>오너, 오늘부로 파산이 선고되었습니다…\n유감스럽게도 이 테마파크는\n폐원하게 됩니다…
advice0	0	104	<1>더 이상 배치할 수 없습니다.\n새로 배치하려면\n설치물을 철거해 주십시오.
advice0	0	105	<1>더 이상 직원을 고용할 수 없습니다.\n새로 직원을 고용하려면\n설치물을 줄여 주십시오.
advice0	0	106	<1>더 이상 손님이 입장할 수 없습니다.\n손님을 더 맞이하고 싶다면\n설치물을 철거하세요.
advice0	0	107	<1>우드코스터 레일을 부설 중입니다.\n레일 부설에는 %s의 비용이\n듭니다.
advice0	0	108	<1>롤러코스터 레일을 부설 중입니다.\n레일 부설에는 %s의 비용이\n듭니다.
advice0	0	109	<1>모노레일 레일을 부설 중입니다.\n레일 부설에는 %s의 비용이\n듭니다.
advice0	0	110	이미 클리어 조건을 달성했습니다.\n새로 다른 나라에서 테마파크를 경영합니다.
advice0	0	111	Thank you for playing!\n축하합니다!\n당신이야말로 세계 제일의 테마파크 왕입니다!
advice0	1	2	<3>%s이(가)\n오랜 운행으로 낡은 것 같습니다.\n새것으로 교체합시다.
advice0	1	3	<3>%s에\n고장 징후가 보입니다. 사고가 나기 전에\n정비공에게 수리시킵시다.
advice0	1	4	<4>%s의 재고가\n얼마 남지 않았습니다.\n이제 %d개밖에 남지 않았습니다.
advice0	1	5	<5>끼여서 꼼짝 못 하는\n손님이 있는 것 같습니다!\n위치를 찾아서 구해 냅시다!
advice0	1	6	<3>입장료가 비싼 편인 것 같습니다.\n입장료 인하를 권해 드립니다.
advice0	1	7	<5>입장료가 너무 비싼 탓에\n손님 이탈이 빨라지고 있습니다.\n어서 가격을 내려 주십시오!
advice0	1	8	<5>입장료가 상식을 벗어난 가격입니다!\n늦기 전에 적정 가격으로 돌려 주십시오!
advice0	1	9	<4>입장료가 조금 비싸게 느껴집니다.\n입장료 인하를 검토해 보시면 어떨까요?
advice0	1	10	<2>오너가 발주하신\n%s의 재고 %d개분이\n입하되었습니다. 확인 부탁드립니다.
advice0	1	11	<4>박애 정신이 넘치는 이 저렴한 가격!\n이 입장료로 운영해 나갈 수 있겠습니까?
advice0	1	12	<5>파산해도 어쩔 수 없을 만큼 싼 입장료.\n이제 어떻게 되든 저는 모릅니다!
advice0	1	13	<3>입장료가 너무 쌉니다.\n즉시 인상하시기를 강력히 권합니다.
advice0	1	14	<5>현재 입장료가 비즈니스를 도외시한\n초저가로 설정되어 있습니다.\n마치 자원봉사 같습니다!
advice0	1	15	<1>입장료가 손님에게\n너무 관대한 것 같습니다.\n조금 더 올려도 문제없을 겁니다.
advice0	1	16	<4>쓰레기가 흩어져 있어 몹시 비위생적입니다.\n불만이 나오기 전에\n청소부를 고용해 청소합시다.
advice0	1	17	<1>상점을 늘립시다.\n어트랙션 수의 비율을 생각하면\n%d곳 정도 지어도 문제없을 겁니다.
advice0	1	18	<1>운영 자금 마련에 고생하시는 것 같군요.\n은행 대출도\n검토해 보시면 어떨까요?
advice0	1	19	<4>좀처럼 궤도에 오르지 않는군요.\n직원을 해고하는 것도\n비용 절감 수단의 하나라고 생각합니다.
advice0	1	20	<4>손님이 지루해하는 것 같습니다.\n어트랙션 속도를 올려\n스릴을 연출해 보는 것도 방법입니다.
advice0	1	21	<1>출구를 몰라서\n헤매는 손님이 있는 것 같습니다.\n안내 표지판을 설치해 보면 어떨까요?
advice0	1	22	<1>현상 타파를 위해, 예를 들어 %s\n같은 어트랙션을 설치해 보시면\n어떻겠습니까?
advice0	1	23	<2>입장료 가격 설정이 참으로 적절합니다.\n이 기세로 착실하게 성과를 올려 갑시다.
advice0	1	24	<2>손님 발길이 순조롭습니다.\n입장료를 조금 더 올려 봐도\n좋지 않을까요?
advice0	1	25	<3>이 규모의 테마파크치고는\n입장료가 비싸다고 생각합니다.\n인하를 제안합니다.
advice0	1	26	<1>%s의 가격을\n%d만큼 올리는 게 좋다고 생각합니다.
advice0	1	27	<1>%s의 가격을\n%d만큼 내리는 게 좋다고 생각합니다.
advice0	1	28	<1>지루해하는 손님이 질리지 않도록\n엔터테이너 고용을 권해 드립니다.
advice0	1	29	<1>출구를 몰라서 헤매는 손님이\n많습니다. 안내 표지판을\n더 설치해야 한다고 생각합니다.
advice0	1	30	<3>어트랙션끼리 거리가 너무 먼 것 같습니다.\n손님 발길에 영향이 있으니\n더 가깝게 배치해야 할 겁니다.
advice0	1	31	<3>%s의 대기 행렬이\n긴 것 같습니다.\n대기줄을 적절한 길이로 정비해야 합니다.
advice0	1	32	<4>손님들에게서 "어트랙션 배치가 나쁘다",\n"전체적으로 재미없다" 같은\n불만의 목소리가 들립니다.
advice0	1	33	<2>연구 개발 성과가 나타난 것 같습니다.\n버스가 대형화되어\n%d명이 탈 수 있게 되었습니다!
advice0	1	34	<2>연구 개발 성과입니다!\n%s의 버전이\n%d.%d(으)로 업그레이드되었습니다!
advice0	1	35	<1>%s의 가격을\n올리지 않겠습니까?\n%s 정도가 적정 가격이라고 봅니다.
advice0	1	36	<1>%s의 가격을\n내리지 않겠습니까?\n%s 정도가 적정 가격이라고 봅니다.
advice0	1	37	<2>직원 연수 성과입니다!\n%s의 버전이\n%d.%d(으)로 업그레이드되었습니다!
advice0	1	38	<1>이 어트랙션을 운행하려면\n레일 또는 코스를 이어야 합니다.
advice0	2	1	<1>노동조합에서 노사 협상을 요청해 왔습니다.\n대표자가 별실에서 기다리고 있습니다.\n자, 가시지요!
advice0	2	2	<1>도매업자가 매입가 협상을 요청해 왔습니다.\n대표자가 별실에서 기다리고 있습니다.\n자, 가시지요!
advice0	2	3	<2>협상이 원만하게 해결된 것 같군요!\n임금 인상률 %d.%d%%(으)로\n이야기가 정리되었습니다.
advice0	2	4	<4>협상이 결렬된 것 같군요.\n입구 부근에서 불만을 품은 직원들이\n파업을 벌이고 있습니다.
advice0	2	5	<2>협상이 원만하게 해결된 것 같군요!\n매입가 인상률 %d.%d%%(으)로\n이야기가 정리되었습니다.
advice0	2	6	<4>협상이 결렬된 것 같군요.\n매입가가 10％ 오른 데다 납품까지\n중단되고 만 것 같습니다.
advice0	3	1	<2>올 한 해 수고 많으셨습니다!\n%s년도 결산 보고를 하겠습니다.
advice0	3	2	<2>첫해부터 조짐이 좋은 출발이군요!\n이 기세로 차곡차곡 쌓아 갑시다!
advice0	3	3	<4>첫해에는 수입을 얻지 못했습니다.\n다시 한번 기본을 확인해 봅시다.<P>게이트는 열려 있습니까?\n어트랙션이 운행 휴지인 채로\n있지는 않습니까?<P>이제 막 시작했을 뿐입니다.\n서두르지 말고 천천히 힘냅시다!
advice0	3	4	<4>내년도 결산에서\n파산할 가능성이 매우 높은 심각한 상황입니다.<P>예를 들어 일시적으로 입장료와 상점 가격을\n대폭 올려 재건을 꾀하는 것은\n어떻겠습니까?<P>이제 찬밥 더운밥 가릴 때가 아닙니다.\n하루빨리 재건책을 실행해 주십시오,\n오너!
advice0	3	5	<4>내년도가 불안한 내용이군요.\n이대로라면\n파산할 가능성도 부정할 수 없습니다.<P>복습입니다. 새 어트랙션으로\n집객력을 높이고, 모인 손님이\n상점에서 돈을 쓰게 한다!<P>기본을 지키면 착실히 수입이 오릅니다.\n우선 불필요한 지출을\n철저히 재검토하는 것부터 시작합시다.
advice0	3	6	<1>소액이라도 흑자인 건 좋은 징조입니다.\n이 기세로 힘냅시다!
advice0	3	7	<1>경영이 조금씩 궤도에 오르기 시작했군요.\n하지만 방심은 금물,\n마음을 다잡고 나아갑시다!
advice0	3	8	<2>오너의 실력이\n마음껏 발휘되고 있는 것 같군요.\n내년에도 착실하게 결과를 냅시다!
advice0	3	9	<5>이제 제가 드릴 말씀은 아무것도 없습니다.\n벌고 벌고, 마음껏 버십시오!
advice0	3	10	<1>기본적인 테마파크의 수입원은\n"입장료"와 "상점 매출"\n이 두 가지입니다.<P>특히 상점은 중요한 수입원입니다.\n우선 어떻게 상점에 손님을 부를까?\n그것을 생각해 봅시다.
advice0	3	11	<1>손님을 많이 모으려면 어떻게 해야 할까?<P>새로운 어트랙션일수록\n손님의 흥미를 끕니다. 아무튼\n어트랙션을 설치해 나갑시다!
advice0	3	12	<1>어트랙션으로 집객력을 높이고\n모인 손님이 상점에서 돈을 쓰게 한다.<P>이것이 기본적인 흐름입니다.\n이 흐름을 머리 한구석에 두고\n테마파크를 경영해 보십시오.
advice0	3	13	<1>연구 개발로\n다양한 행동이 가능해졌습니다.\n무엇을 시도해야 할지 망설여지는군요.<P>우선 신규 어트랙션과\n상점 개발에\n힘을 쏟아 보시기를 권합니다.
advice0	3	14	<1>자사주 배당금은 무시할 수 없는 지출입니다.<P>여유가 있다면\n자사주를 사들이는 것도\n효과적일지 모릅니다.
advice0	3	15	<2>보고드릴 일이 있습니다.\n테마파크 스폰서가\n올해의 경영 자세를 높이 평가했다고 합니다.<P>총 %s의 보너스가\n임시로 지급됩니다. 축하드립니다!
advice0	4	1	<1>"자산 가치가 높은" 테마파크 만들기.\n그 지표가 되는 중요한 요소를 설명하겠습니다.<P>아무튼 어트랙션, 상점,\n설비의 수를 늘리는 것, 이것이 전부입니다.\n힘내 주십시오!
advice0	4	2	<1>인건비를 줄이는 방법을 생각해 봅시다.\n테마파크를 지키는 경비원에 관해서입니다.<P>사람이 몰리는 입구 부근에 한 명만\n고용해도 충분히 역할을 다할 것입니다.
advice0	4	3	<1>어트랙션, 상점 등의 시설은\n조합을 생각하면\n더 효과적으로 운영할 수 있습니다.<P>롤러코스터 같은\n과격한 어트랙션 옆에\n음식점을 배치해서는 안 됩니다.<P>먹고 나서 격렬하게 움직이는 놀이기구를\n타면 어떻게 될까요? 분명 지저분한\n결말이 기다리고 있을 겁니다.
advice0	4	4	<1>어트랙션, 상점 등의 시설은\n조합을 생각하면\n더 효과적으로 운영할 수 있습니다.<P>나무나 연못 같은 시설의 배치는\n무시할 수 없는 중요한 요소입니다.<P>나무와 물가는 손님의 마음을 달래\n만족도 향상에 공헌합니다.\n경관 또한 중요한 요소인 것입니다.
advice0	4	5	<1>어트랙션, 상점 등의 시설은\n조합을 생각하면\n더 효과적으로 운영할 수 있습니다.<P>상상해 보십시오.\n음식점 근처에 더러운 화장실이 있다면\n당신은 무엇을 떠올리시겠습니까?<P>화장실은 음식점에서 떨어뜨려\n설치합시다. 나무를 배치해서\n가려 버리는 것도 방법입니다.
advice0	4	6	<1>테마파크 운영에 익숙해지면\n제 조언을\n전부 들으실 필요는 없습니다.<P>어트랙션이 고장 났다, 움직이지 못하는\n손님이 있다, 같은 정보만\n주의하시면 될 겁니다.
advice0	4	7	<1>"자산 가치가 높은" 테마파크 만들기.\n그 지표가 되는 중요한 요소를 설명하겠습니다.<P>아무튼 어트랙션, 상점,\n설비의 수를 늘리는 것, 이것이 전부입니다.\n힘내 주십시오!
advice0	4	8	<1>인건비를 줄이는 방법을 생각해 봅시다.\n테마파크를 지키는 경비원에 관해서입니다.<P>사람이 몰리는 입구 부근에 한 명만\n고용해도 충분히 역할을 다할 것입니다.
advice0	4	9	<1>어트랙션, 상점 등의 시설은\n조합을 생각하면\n더 효과적으로 운영할 수 있습니다.<P>롤러코스터 같은\n과격한 어트랙션 옆에\n음식점을 배치해서는 안 됩니다.<P>먹고 나서 격렬하게 움직이는 놀이기구를\n타면 어떻게 될까요? 분명 지저분한\n결말이 기다리고 있을 겁니다.
advice0	4	10	<1>어트랙션, 상점 등의 시설은\n조합을 생각하면\n더 효과적으로 운영할 수 있습니다.<P>나무나 연못 같은 시설의 배치는\n무시할 수 없는 중요한 요소입니다.<P>나무와 물가는 손님의 마음을 달래\n만족도 향상에 공헌합니다.\n경관 또한 중요한 요소인 것입니다.
advice0	5	1	<1>어트랙션, 상점의\n고급 조합을 소개하겠습니다.\n이것으로 매출 상승은 틀림없습니다!<P>소금을 늘린 빅 프라이 포테이토 옆에\n동키 콜라를 열어 봅시다.<P>목마른 손님은\n음료를 원하겠지요. 상점끼리\n매출 상승효과를 기대할 수 있습니다.
advice0	5	2	<1>어트랙션, 상점의\n고급 조합을 소개하겠습니다.\n이것으로 매출 상승은 틀림없습니다!<P>바운시캐슬에는 아이들이 많이\n모입니다. 그곳에 월리 아이스를\n열어 봅시다.<P>아이스크림을 싫어하는 아이는 없습니다.\n월리 아이스의 매출 상승을\n기대합시다!
advice0	5	3	<1>고스트하우스는\n등골이 오싹한 무서운 어트랙션.\n어른들이 많이 모입니다.<P>그곳에 커피숍이나\n비어하우스를 열어 봅시다.<P>왠지 모르게 어른들이 서성서성…\n매출 상승, 꼭 기대해 봅시다!
advice0	5	4	<1>어트랙션, 상점은 경관을 연출해 주면\n수익을 더 올릴 수 있습니다.<P>고스트하우스 주위에\n"수상한 나무"를 많이\n배치해 봅시다.<P>이것만으로 으스스함이 올라갑니다.\n연출이 효과적으로 작용해\n집객력이 오를 것입니다.
advice0	5	5	<1>동선이라 불리는 사람의 움직임과 흐름을 이용한\n비장의 집객 테크닉을\n알려 드리지요!<P>벌룬 스토어 같은 기념품 가게는\n입장 게이트 부근에 여시기를 권합니다.<P>파크를 마음껏 즐긴 손님이 돌아갈 때!\n모두 출구로 향할 겁니다.\n그걸 잘 이용합시다.
advice0	5	6	<1>어트랙션, 상점의\n고급 조합을 소개하겠습니다.\n이것으로 매출 상승은 틀림없습니다!<P>소금을 늘린 빅 프라이 포테이토 옆에\n동키 콜라를 열어 봅시다.<P>목마른 손님은\n음료를 원하겠지요. 상점끼리\n매출 상승효과를 기대할 수 있습니다.
advice0	5	7	<1>어트랙션, 상점의\n고급 조합을 소개하겠습니다.\n이것으로 매출 상승은 틀림없습니다!<P>바운시캐슬에는 아이들이 많이\n모입니다. 그곳에 월리 아이스를\n열어 봅시다.<P>아이스크림을 싫어하는 아이는 없습니다.\n월리 아이스의 매출 상승을\n기대합시다!
advice0	5	8	<1>고스트하우스는\n등골이 오싹한 무서운 어트랙션.\n어른들이 많이 모입니다.<P>그곳에 커피숍이나\n비어하우스를 열어 봅시다.<P>왠지 모르게 어른들이 서성서성…\n매출 상승, 꼭 기대해 봅시다!
advice0	5	9	<1>어트랙션, 상점은 경관을 연출해 주면\n수익을 더 올릴 수 있습니다.<P>고스트하우스 주위에\n"수상한 나무"를 많이\n배치해 봅시다.<P>이것만으로 으스스함이 올라갑니다.\n연출이 효과적으로 작용해\n집객력이 오를 것입니다.
advice0	5	10	<1>동선이라 불리는 사람의 움직임과 흐름을 이용한\n비장의 집객 테크닉을\n알려 드리지요!<P>벌룬 스토어 같은 기념품 가게는\n입장 게이트 부근에 여시기를 권합니다.<P>파크를 마음껏 즐긴 손님이 돌아갈 때!\n모두 출구로 향할 겁니다.\n그걸 잘 이용합시다.
advice0	5	11	<1>어트랙션, 상점의\n고급 조합을 소개하겠습니다.\n이것으로 매출 상승은 틀림없습니다!<P>소금을 늘린 빅 프라이 포테이토 옆에\n동키 콜라를 열어 봅시다.<P>목마른 손님은\n음료를 원하겠지요. 상점끼리\n매출 상승효과를 기대할 수 있습니다.
advice0	6	1	<1>테마파크 가이드 투어에 오신 것을 환영합니다!
advice0	6	2	<2>안내를 맡을 사람은 저, 로버트 벨입니다.\n잘 부탁드립니다!
advice0	6	3	<1>그럼 바로 테마파크 만드는 법을\n튜토리얼 형식으로 배워 봅시다!
advice0	6	4	<1>참고로 START 버튼으로 언제든지 이\n가이드 투어를 건너뛸 수 있습니다.\n기억해 둡시다.
advice0	6	5	<1>먼저 첫걸음.\n"보도"를 깔아 봅시다.
advice0	6	6	<1>보도는 손님이\n테마파크를 자유롭게 걷는 데 필요한\n가장 기초적인 요소입니다.
advice0	6	7	<1>깜빡이는 아이콘이 보이십니까?\n이것이 "보도 아이콘"입니다.\n터치해 봅시다.
advice0	6	8	<1>다음은 파크 화면을 보세요.\n깜빡이는 선을\n터치펜으로 따라 그려 보세요.
advice0	6	9	<1>보도가 생긴 것 같군요.\n그럼 복습 삼아\n보도를 하나 더 깔아 봅시다.
advice0	6	10	<2>굿! 어떻습니까? 간단하지요?\n이 기세로 계속 배워 나갑시다!
advice0	6	11	<1>다음은 테마파크의 꽃\n"어트랙션"을 설치해 봅시다.
advice0	6	12	<1>깜빡이는\n"어트랙션 설치 아이콘"을\n터치해 봅시다.
advice0	6	13	<1>화면이 위아래로 바뀌었군요.\n아래 화면에 표시된 것이\n"어트랙션 구입 화면"입니다.
advice0	6	15	<1>시험 삼아\n바운시캐슬을\n터치해 봅시다.
advice0	6	16	<1>바운시캐슬의\n설명문이 표시되었군요.
advice0	6	17	<1>다음은 바운시캐슬을\n한 번 더\n터치해서 선택해 보세요.
advice0	6	18	<1>다시 화면이 위아래로 바뀌었습니다.\n선택한 바운시캐슬을\n배치해 봅시다.
advice0	6	19	<1>터치펜으로 바운시캐슬을\n깜빡이는 위치로 옮겨 보세요.
advice0	6	20	<1>위치가 정해지면 OK 아이콘이 표시됩니다.\nOK 아이콘을 터치해 봅시다.
